"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.1336717428088","28.4615384615385","30.2334062727936","31.7007715531701","30.8690012970169","25.4941135775374","23.9991775312859","26.629979781872","28.8817040907799","28.4513918843887","33.160442199198","34.5191296544988","31.746651038248","32.1030557196345","29.6421797785745","28.2831797071863","27.4166371579459","23.5225068320821","23.8258550178984","23.1114610175592","21.5389195724266","20.5750100127193","20.5511821265415","22.4017243113924","22.4385043629328","22.6952743569477","20.8393644532578","20.5525018644247","",
"Africa Eastern and Southern","AFE","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6721521972122","19.6777556103438","19.2533253153604","17.8911794451912","19.0151297671008","17.964742922725","18.4060445012937","17.7525538137405","17.0213690402683","18.0300105684178","19.4663776499092","19.2174612485241","20.2532904752158","21.3276448909029","23.5450593683025","23.3255350784245","21.4673304578337","22.3465671534452","22.1025047727871","22.6127218312646","22.896556987579","22.8338811007993","20.4207455889503","20.7142564763964","20.6378259530765","21.2944449408011","20.1151218640828","19.9149945508398","19.9514601259237","",
"Afghanistan","AFG","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","16.115709744894","16.5991981789571","19.1057020506971","14.2011896117076","13.8888936728392","11.2582791310323","8.41269813681027","5.1792826071544","6.4724917522858","6.46687681860701","5.46379407704636","5.46117106687832","6.54596174882259","7.30769221351084","8.76288652354129","9.76525842685535","13.6521735928166","12.4153493064084","13.8720537510231","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5","13","","",
"Africa Western and Central","AFW","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","","30.4931731253335","30.4511114121029","30.8936755014177","27.5565797901657","23.3007709224417","25.730579355956","30.804053314644","42.8208531628244","28.1973176920118","26.4243531675539","26.6675773725046","26.1429704757952","27.5004591988793","34.2024908297612","27.2147092687935","24.1303058646463","17.8694205677582","17.7122552404386","26.4904004984611","26.4373618826197","25.6723196112891","",
"Albania","ALB","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","35.805834723522","36.3861156517659","39.2829001338862","37.373346292896","32.9255350791543","33.9319591391124","32.0348354243886","29.4538695223043","29.957542067619","32.8770715994479","30.360946807547","7.60311109567282","5.65668410228241","13.6761374504386","18.8965848987739","21.2785134595821","18.063790715967","16.6595085173425","19.7426022741446","19.7346920833014","30.7962585719445","34.9886697820033","35.2640615632586","33.8968627994889","34.1967461797911","36.8696756752052","35.6975187198863","34.4619700309054","35.7784238754261","34.5578458934766","30.3086698207955","31.4135814808892","28.3285499594466","28.0524964575465","25.6746926299268","25.8190485021686","25.2238259425092","25.0525380257711","23.9102053888242","23.0125955147467","22.9650300135768","24.8122951383153","","",
"Andorra","AND","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","33.9066170779483","35.1842120056333","39.1485843533194","30.724347101255","28.1570691683293","28.3783774388265","31.6149968679973","29.8727452178884","29.0256864298517","25.3641719775037","24.3005766305463","21.1788860164482","22.8551493503053","17.9572212270106","30.0821390262902","20.979646530695","21.7553053406956","22.032767420808","20.0068665234603","20.5570189937863","19.5085817170374","17.4405979294509","20.3827929113591","20.1630845878881","18.3552180025986","19.3989376995304","18.8836978295269","19.6811731306951","19.6271694613155","19.6255452566862","20.7333781493005","23.4350285307897","24.4905800187356","25.7069014709867","23.8242875940039","24.0792357705147","23.4525079371873","24.1823752215344","25.2478833927071","27.8442451545711","27.6654391214341","27.0106827603814","26.411522122632","26.7995739140052","25.6944341797763","23.4765377647285","23.2431486035738","",
"United Arab Emirates","ARE","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5025971503274","22.5456815521944","22.1297618369823","19.9785190602061","20.1668488058722","19.2703996822451","25.1991828204692","25.0980915438506","31.6335487625593","26.1813529211704","22.5088852101176","21.3146835419708","18.7714505330331","21.5812679071454","24.7985345250231","25.1593261512194","24.9774926807272","23.2453423655328","22.4227624237073","22.7864474942598","","","",
"Argentina","ARG","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","23.4792342590099","27.7664470644615","21.7309350217721","18.2728788276194","21.4739126232485","22.4276757468008","20.5425466290179","21.2150357873283","21.6904972921362","23.9906052021963","24.4400952475051","24.1130324177909","23.8915446190398","20.8938115320811","22.2603317856376","29.4410469590453","30.7294395896829","30.9416888038212","27.8001595713111","25.8567694620944","25.257786289888","22.6910887215618","21.7549479464592","20.8877523061467","19.9640924492995","17.5890669180019","17.4617642050861","19.5548660012086","18.6400388971926","15.5146982752804","13.9969815756662","14.6369773950796","16.7024057741857","19.6881104233422","19.9656232520199","18.5004105114971","19.6238724452255","20.8260515469902","20.9707691548621","17.8629278753399","17.5334874363903","15.6259653308051","10.8539052402585","14.1469621012504","17.5512703642799","18.8882641376513","18.6804872364334","20.099113202908","19.5727758777106","16.0531123592112","17.7055338062046","18.39845891735","16.5019865298875","17.3057789012596","17.2628810064651","17.0707048841583","17.6632278606203","18.2125671747754","16.6138850156371","14.2100303992191","14.4151557410245","18.0573400196077","17.6250450078199","",
