Report generated on: 04-08-2024 05:36:21
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","refined petroleum products consumption (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-2-WORL-TBPD.A","    World","","","","","","","","63136.98901804046","60937.91981561333","59653.60138821889","58887.262083002235","59892.295658870564","60164.603423806424","61828.714125972605","63065.34719819178","64947.83862657414","66046.80370290412","66658.53165","66930.59273434247","67185.41878647234","66989.72191224658","68376.30340413698","69797.44460175507","71870.46613376884","73083.80538682466","73902.69465003561","75523.21600043535","77047.91185889486","77760.26009696406","78647.40463156605","80286.11687473019","83448.04042996907","84659.48902813409","85773.34209684531","87448.18016307107","86862.67569050571","86029.00399020356","88805.90849502162","89397.31270878576","90664.56766130096","92146.83571633458","93690.5445758072","95481.15766997497","96954.38499458319","99055.22978483464","100052.86536319632","100855.55221260893","91724.94278891831","97653.05343930777","99952.58120784668"
"INTL.54-2-AFG-TBPD.A","        Afghanistan","","","","","","","","6.999999999","8.000000001","7.799999998","11.000000001","11.000000001","13.000000001","13.59753","13.86794","13.18628","13.37298","13.57298","12.75473","7.13639","7.13649","6.63649","6.43649","5.92087","5.60002","5.40002","5.400027397260274","3.8812459016393435","3.860493150684933","3.270939726027391","4.705284931506853","4.331092896174859","6.529397260273979","8.322821917808216","9.100410958904114","20.81557377049185","36.25320547945199","42.76090410958903","55.81753424657529","49.05868852459019","35.082679452054734","27.677745205479425","34.914945136986304","25.590860712328766","23.631189041083562","30.604660273972","24.276243835616","23.007042672131156","25.849105181500157","27.099189977767725"
"INTL.54-2-ALB-TBPD.A","        Albania","","","","","","","","46","44","42.999999999","44","42.999999999","41.999999999","38.3","33.9","31.6","27","19.984","17.92538","20.42626","16.72158","13.21491","14.8139","11.61284","12.41172","15.1","9.208099594520547","21.872560655737708","23.166780273972577","26.88155506849314","27.304556712328715","30.439071038251406","30.58374356164382","28.52933589041099","27.83662904109589","27.38395300546445","26.72517041095888","25.951811506849342","25.735346849315118","22.637728961748625","27.171761095890403","28.13148164383562","26.061698","27.170328","35.325689019168486","33.05213698630137","26.393342465753427","24.238048181950543","25.77624345450394","26.30690554246579"
"INTL.54-2-DZA-TBPD.A","        Algeria","","","","","","","","121.000000001","126.999999999","143.000000001","136","149.999999999","164.999999999","166.2","167.4","172.7","182.9","193.5","208.1","210.5","206.2","203.6","204.5","198.2","199.5","206.9","197.7","224.2703945355191","228.37250849315078","247.64047013698624","252.553053150685","262.6047125683059","264.0822509589043","267.67475835616386","275.9514191780822","313.81660983606605","349.16215945205516","347.4138156493151","349.5789589041096","373.793301369863","400.3377534246575","415.6059726027397","431.2676164383562","420.72377","407.385095890411","418.17019726027394","450.524465753425","412.595894177218","414.5817894441407","427.60632012986935"
"INTL.54-2-ASM-TBPD.A","        American Samoa","","","","","","","","2.8","3.3","4.6","2.9","3.3","3.1","3.2","3.32117","3.22112","3.72931","3.92931","3.92931","4.02895","3.92931","3.82931","3.72931","3.72895","3.82931","3.82931","3.8293150684931505","3.744098360655734","3.754356164383566","3.817315068493155","3.817315068493155","3.80688524590164","4.065698630136983","4.14","4.14","4.14","4.14","4.14","2.34564584991815","2.34564610715881","2.34564584991815","2.34564584991815","2.345645","2.345646","2.3456458499","2.3456458499","2.3456458499","2.22832","2.58016","2.5800000000000005"
"INTL.54-2-AGO-TBPD.A","        Angola","","","","","","","","20.000000002","20.000000002","21.000000001","22","19","25.000000001","23.8","23.9","24","24.3","24.3","25.5","25.5","24.8","24.5","26.4","24.8","29.8","25.4","31.3","38.70139234972673","43.5847583561644","45.35358027397257","50.68749698630144","54.2014546448087","42.130644383561595","56.78680767123286","67.46339178082196","82.75661967213112","98.66940821917811","106.95469289863014","111.97478115068493","119.80948045901637","138.73805537534247","158.867808219","156.746602740479","137.14506849282202","121.134356163767","110.372794520096","133.36109589041","127.33852769351279","122.70672288324589","126.56438455214412"
"INTL.54-2-ATA-TBPD.A","        Antarctica","","","","","","","","1","1","1","1","1.3","1.4","1.3","1.3","1.4","1.3","1.4","1.4","1.4","1.4","1.4","1.5","1.5","1.5","1.5","1.5","1.48792349726776","1.53287671232877","1.53287671232877","1.53287671232877","1.54907103825137","1.55331506849315","1.55331506849315","1.57375342465753","0.06733115717256075","0.08674084657534246","0.08674084657534246","0.08674084657534246","0.08674030491803279","0.08674084657534246","0.08674084657534246","0.086739","0.086738","0.0846575","0.0846575","0.0846575","0.07130819672131147","0.07588328767123288","0.0798570213850411"
"INTL.54-2-ATG-TBPD.A","        Antigua and Barbuda","","","","","","","","2.8","2.500000001","3.399999999","2","2.2","2.2","2.23671","2.78473","2.7845","2.78473","2.88473","2.88473","2.8845","2.88473","3.08473","3.28473","3.2845","3.38473","3.38473","3.384739726027397","3.5205191256830575","3.530164383561645","3.7824109589041064","3.9684931506849326","4.101448087431691","4.173095890410958","4.309123287671231","4.503671232876711","4.594890710382509","4.823364383561641","4.656383561643831","4.644186301369865","4.758934426229507","4.771972602739721","4.879287671232871","4.974929","5.052921","4.7990684931","4.9294246575","4.951780821917809","4.1700808210229106","4.824651979507438","5.077301520547946"
"INTL.54-2-ARG-TBPD.A","        Argentina","","","","","","","","531.3332919823288","513.5650210560959","497.9361711739041","507.56137151417806","494.26262760553425","447.09151345597263","480.79068493150686","484.38904109589043","463.94027397260277","426.9504109589041","407.89753424657533","413.6758904109589","433.2323287671233","496.38191780821916","445.972602739726","437.7019178082192","474.301095890411","486.5939726027397","529.3945205479451","485.7","549.4047895753424","520.5903951123289","468.4050881863014","502.4943777808219","560.6375700850364","563.2148334575339","598.7314294904112","629.5948701808214","684.7698721311481","658.006569863013","731.8113118794518","724.9578852109588","757.4252612021863","763.8709402739728","763.6902783561645","793.612832980822","776.904164","750.7489315068493","718.7873150684931","679.9999452054794","448.834794520548","674.5467805020686","705.6050271561847"
